
#### 노템(장비0·슬롯0) (챕터 5) — 1200판 · 클리어율 9.17% · 한 판 평균 획득 5.98장
| 특전 | 등급 | 픽률(판 대비) | 그 특전을 뽑은 판의 클리어율 |
| 처치 시 도끼 `p_killAxeN` | 일반 | 5.8% | 18.6% |
| 처치 시 창 `p_killSpearN` | 일반 | 5.8% | 18.8% |
| 처치 시 회피 버프 `p_killEvBuff` | 일반 | 5.7% | 20.6% |
| 처치 시 화살 `p_killArrowN` | 일반 | 5.6% | 17.9% |
| 가시갑옷 `p_thornsN` | 일반 | 4.7% | 25.0% |
| 수집가·치명 `p_collCrit` | 일반 | 4.2% | 24.0% |
| 처치 시 회피 스택 `p_killEvStk` | 일반 | 3.9% | 17.0% |
| 수집가·공격 `p_collAtk` | 일반 | 3.8% | 20.0% |
| 수집가·체력 `p_collHp` | 일반 | 3.8% | 31.1% |
| 처치 시 공격력 스택 `p_killAtkStk` | 일반 | 3.4% | 19.5% |
| 치명 스택 `p_critStack` | 일반 | 2.3% | 7.1% |
| 처치 시 회복 `p_killHealN` | 일반 | 2.0% | 12.5% |
| 공격 시 공속 버프 `p_aspdAtk` | 일반 | 1.9% | 34.8% |
| 치명타 시 스턴 `p_stunCritN` | 일반 | 1.9% | 26.1% |
| 회피 시 즉사 `p_execEvN` | 일반 | 1.8% | 4.5% |
| 3타 도끼 `p_nAxeN` | 일반 | 1.3% | 26.7% |
| 회피 시 스턴 `p_evadeStun` | 일반 | 1.2% | 7.1% |
| 3타 번개 `p_nBoltN` | 일반 | 1.0% | 41.7% |
| 2타 화살 `p_nArrowN` | 일반 | 0.8% | 30.0% |
| 5타 회복 `p_nHealN` | 일반 | 0.7% | 25.0% |
| 반격 치명 `p_ctCritN` | 일반 | 0.4% | 40.0% |
| 반격 강화 `p_ctDmgN` | 일반 | 0.2% | 50.0% |
| 처치 시 확정 치명 `p_killSureCrit` | 일반 | 0.2% | 0.0% |

#### 전설 풀셋·슬롯15 (챕터 70) — 1200판 · 클리어율 9.83% · 한 판 평균 획득 6.59장
| 특전 | 등급 | 픽률(판 대비) | 그 특전을 뽑은 판의 클리어율 |
|---|---|---|---|
| 처치 시 번개 `p_killBoltL` | 전설 | 12.9% | 12.9% |
| 가시갑옷 `p_thornsR` | 희귀 | 12.0% | 9.7% |
| 회복 시 수리 `p_healRepair` | 희귀 | 11.8% | 9.2% |
| 회복 증폭 `p_healUp` | 희귀 | 11.3% | 9.6% |
| 공격력 증가 `p_atk` | 일반 | 11.3% | 6.7% |
| 처치 시 도끼 `p_killAxeR` | 희귀 | 11.3% | 12.6% |
| 가시갑옷 `p_thornsL` | 전설 | 11.2% | 17.2% |
| 창의 화신 `p_spearAvatar` | 전설 | 11.2% | 18.7% |
| 처치 시 창 `p_killSpearL` | 전설 | 11.1% | 18.8% |
| 치명타 시 스턴 III `p_stunCritL` | 전설 | 11.0% | 9.1% |
| 수리 증폭 `p_repairUp` | 희귀 | 10.7% | 7.8% |
| 처치 시 화살 `p_killArrowR` | 희귀 | 10.6% | 7.1% |
| 회피율 증가 `p_evade` | 일반 | 10.5% | 10.3% |
| 피격 시 도끼 III `p_axeHitL` | 전설 | 10.3% | 19.4% |
| 3타 번개 III `p_nBoltL` | 전설 | 10.3% | 23.4% |
| 처치 시 도끼 `p_killAxeL` | 전설 | 10.3% | 18.7% |
| 광전사 `p_berserk` | 전설 | 10.2% | 46.7% |
| 처치 시 번개 `p_killBoltR` | 희귀 | 10.1% | 16.5% |
| 풀피 적 강타 `p_fullHp` | 희귀 | 10.0% | 7.5% |
| 회피 시 화살 III `p_arrowEvL` | 전설 | 9.9% | 8.4% |
| 거인의 힘 `p_giant` | 전설 | 9.9% | 26.1% |
| 오버킬 회복 `p_overkill` | 전설 | 9.8% | 31.4% |
| 2타 화살 III `p_nArrowL` | 전설 | 9.8% | 28.0% |
| 회피 시 회복 `p_evadeHeal` | 일반 | 9.8% | 9.3% |
| 처치 시 창 `p_killSpearR` | 희귀 | 9.7% | 16.4% |
| 3타 창 `p_nSpearL` | 전설 | 9.6% | 20.0% |
| 귀족의 눈 `p_nobleEye` | 전설 | 9.5% | 12.3% |
| 관통 베기 III `p_cleaveL` | 전설 | 9.5% | 9.6% |
| 치명 시 창 `p_critSpearL` | 전설 | 9.3% | 8.0% |
| 피격 시 도끼 `p_axeHit` | 일반 | 9.3% | 9.0% |
| 치명타 시 스턴 II `p_stunCritR` | 희귀 | 9.1% | 7.3% |
| 버서커 `p_berserkStk` | 희귀 | 8.9% | 14.0% |
| 치명타 피해 증가 II `p_critFR` | 희귀 | 8.8% | 11.3% |
| 회피 시 창 `p_spearEvL` | 전설 | 8.8% | 8.6% |
| 처치 시 화살 `p_killArrowL` | 전설 | 8.7% | 10.6% |
| 실드 방벽 `p_shWallL` | 전설 | 8.5% | 18.6% |
| 회피 시 즉사 III `p_execEvL` | 전설 | 8.5% | 19.6% |
| 치명 시 번개 `p_critBoltL` | 전설 | 8.5% | 8.8% |
| 회피 시 화살 `p_arrowEv` | 일반 | 8.3% | 6.1% |
| 처치 시 수리 `p_killRepair` | 희귀 | 8.3% | 34.3% |
| 3타 도끼 II `p_nAxeR` | 희귀 | 8.3% | 11.1% |
| 피격 시 방어막 III `p_wardHitL` | 전설 | 8.1% | 14.4% |
| 반격 치명 II `p_ctCritR` | 희귀 | 8.1% | 9.3% |
| 반격률 증가 `p_counter` | 일반 | 7.9% | 7.4% |
| 반격 강화 II `p_ctDmgR` | 희귀 | 7.9% | 12.6% |
| 회피 시 수리 II `p_evRepairL` | 전설 | 7.8% | 18.1% |
| 실드 반사 `p_shRefL` | 전설 | 7.7% | 13.0% |
| 회피 시 즉사 II `p_execEvR` | 희귀 | 7.6% | 6.6% |
| 회피율 증가 II `p_evadeR` | 희귀 | 7.4% | 11.2% |
| 3타 번개 II `p_nBoltR` | 희귀 | 7.2% | 17.2% |
| 방어력 증가 III `p_defL` | 전설 | 7.2% | 10.3% |
| 3타 도끼 III `p_nAxeL` | 전설 | 7.2% | 20.9% |
| 공격력 증가 II `p_atkR` | 희귀 | 7.2% | 19.8% |
| 피격 시 창 `p_spearHitL` | 전설 | 7.2% | 15.1% |
| 치명타 확률 증가 II `p_critRR` | 희귀 | 7.1% | 11.8% |
| 반격 시 창 `p_spearCt` | 일반 | 7.1% | 7.1% |
| 2타 화살 II `p_nArrowR` | 희귀 | 7.0% | 22.6% |
| 처치 시 창 `p_killSpearN` | 일반 | 7.0% | 13.1% |
| 반격률 증가 II `p_counterR` | 희귀 | 6.9% | 2.4% |
| 회피 시 화살 II `p_arrowEvR` | 희귀 | 6.5% | 6.4% |
| 처치 시 대시 `p_killDash` | 희귀 | 6.4% | 10.4% |
| 치명타 피해 증가 `p_critF` | 일반 | 6.0% | 5.6% |
| 방어력 증가 `p_def` | 일반 | 5.9% | 2.8% |
| 피격 시 방어막 II `p_wardHitR` | 희귀 | 5.9% | 11.3% |
| 회피 시 수리 `p_evRepairR` | 희귀 | 5.6% | 10.4% |
| 관통 베기 II `p_cleaveR` | 희귀 | 5.6% | 11.9% |
| 회피 시 회복 II `p_evHealR` | 희귀 | 5.6% | 9.0% |
| 치명타 확률 증가 `p_critR` | 일반 | 5.6% | 4.5% |
| 치명 시 창 `p_critSpearR` | 희귀 | 5.4% | 13.8% |
| 처치 시 번개 `p_killBoltN` | 일반 | 5.1% | 4.9% |
| 처치 시 도끼 `p_killAxeN` | 일반 | 4.8% | 8.8% |
| 방어력 증가 II `p_defR` | 희귀 | 4.8% | 8.8% |
| 처치 시 화살 `p_killArrowN` | 일반 | 4.7% | 14.3% |
| 피격 시 도끼 II `p_axeHitR` | 희귀 | 4.5% | 9.3% |
| 가시갑옷 `p_thornsN` | 일반 | 4.1% | 8.2% |
| 처치 시 회피 버프 `p_killEvBuff` | 일반 | 3.9% | 6.4% |
| 수집가·공격 `p_collAtk` | 일반 | 3.7% | 11.4% |
| 수집가·치명 `p_collCrit` | 일반 | 2.9% | 8.6% |
| 처치 시 공격력 스택 `p_killAtkStk` | 일반 | 2.6% | 3.2% |
| 처치 시 회복 `p_killHealN` | 일반 | 2.5% | 26.7% |
| 처치 시 회피 스택 `p_killEvStk` | 일반 | 2.4% | 13.8% |
| 수집가·체력 `p_collHp` | 일반 | 2.2% | 7.7% |
| 공격 시 공속 버프 `p_aspdAtk` | 일반 | 1.8% | 9.1% |
| 회피 시 즉사 `p_execEvN` | 일반 | 1.6% | 5.3% |
| 치명 스택 `p_critStack` | 일반 | 1.5% | 0.0% |
| 치명타 시 스턴 `p_stunCritN` | 일반 | 1.3% | 6.3% |
| 3타 번개 `p_nBoltN` | 일반 | 1.1% | 15.4% |
| 2타 화살 `p_nArrowN` | 일반 | 0.7% | 37.5% |
| 5타 회복 `p_nHealN` | 일반 | 0.6% | 28.6% |
| 3타 도끼 `p_nAxeN` | 일반 | 0.6% | 0.0% |
| 반격 치명 `p_ctCritN` | 일반 | 0.5% | 16.7% |
| 회피 시 스턴 `p_evadeStun` | 일반 | 0.5% | 0.0% |
| 처치 시 확정 치명 `p_killSureCrit` | 일반 | 0.2% | 0.0% |
| 반격 강화 `p_ctDmgN` | 일반 | 0.2% | 0.0% |
| 피해 무시 `p_ignoreN` | 일반 | 0.1% | 0.0% |

#### 신화 풀셋·슬롯25 (챕터 150) — 1200판 · 클리어율 2.08% · 한 판 평균 획득 5.69장
| 특전 | 등급 | 픽률(판 대비) | 그 특전을 뽑은 판의 클리어율 |
|---|---|---|---|
| 처치 시 도끼 `p_killAxeL` | 전설 | 11.1% | 0.8% |
| 가시갑옷 `p_thornsR` | 희귀 | 10.5% | 3.2% |
| 수리 증폭 `p_repairUp` | 희귀 | 10.0% | 1.7% |
| 오버킬 회복 `p_overkill` | 전설 | 9.8% | 11.9% |
| 치명타 시 스턴 III `p_stunCritL` | 전설 | 9.8% | 1.7% |
| 공격력 증가 `p_atk` | 일반 | 9.8% | 2.6% |
| 회피 시 회복 `p_evadeHeal` | 일반 | 9.4% | 1.8% |
| 치명타 시 스턴 II `p_stunCritR` | 희귀 | 9.4% | 1.8% |
| 거인의 힘 `p_giant` | 전설 | 9.3% | 8.0% |
| 처치 시 창 `p_killSpearL` | 전설 | 9.3% | 1.8% |
| 처치 시 화살 `p_killArrowR` | 희귀 | 9.3% | 1.8% |
| 풀피 적 강타 `p_fullHp` | 희귀 | 9.1% | 4.6% |
| 회복 시 수리 `p_healRepair` | 희귀 | 9.0% | 1.9% |
| 창의 화신 `p_spearAvatar` | 전설 | 8.9% | 2.8% |
| 광전사 `p_berserk` | 전설 | 8.8% | 17.1% |
| 처치 시 번개 `p_killBoltR` | 희귀 | 8.8% | 3.8% |
| 가시갑옷 `p_thornsL` | 전설 | 8.7% | 0.0% |
| 처치 시 창 `p_killSpearR` | 희귀 | 8.6% | 1.9% |
| 귀족의 눈 `p_nobleEye` | 전설 | 8.4% | 5.0% |
| 3타 번개 III `p_nBoltL` | 전설 | 8.3% | 4.0% |
| 회피 시 화살 III `p_arrowEvL` | 전설 | 8.2% | 6.1% |
| 처치 시 수리 `p_killRepair` | 희귀 | 8.1% | 11.3% |
| 2타 화살 III `p_nArrowL` | 전설 | 8.0% | 4.2% |
| 처치 시 도끼 `p_killAxeR` | 희귀 | 8.0% | 0.0% |
| 관통 베기 III `p_cleaveL` | 전설 | 7.9% | 6.3% |
| 실드 방벽 `p_shWallL` | 전설 | 7.9% | 2.1% |
| 회피 시 즉사 III `p_execEvL` | 전설 | 7.9% | 5.3% |
| 회피 시 창 `p_spearEvL` | 전설 | 7.9% | 3.2% |
| 회복 증폭 `p_healUp` | 희귀 | 7.8% | 5.3% |
| 치명타 피해 증가 II `p_critFR` | 희귀 | 7.8% | 3.2% |
| 3타 창 `p_nSpearL` | 전설 | 7.8% | 6.5% |
| 피격 시 창 `p_spearHitL` | 전설 | 7.7% | 4.3% |
| 치명 시 창 `p_critSpearL` | 전설 | 7.6% | 3.3% |
| 3타 번개 II `p_nBoltR` | 희귀 | 7.6% | 3.3% |
| 피격 시 도끼 III `p_axeHitL` | 전설 | 7.6% | 2.2% |
| 회피 시 즉사 II `p_execEvR` | 희귀 | 7.4% | 2.2% |
| 치명 시 번개 `p_critBoltL` | 전설 | 7.4% | 1.1% |
| 처치 시 화살 `p_killArrowL` | 전설 | 7.4% | 6.7% |
| 처치 시 번개 `p_killBoltL` | 전설 | 7.3% | 3.4% |
| 치명타 확률 증가 `p_critR` | 일반 | 7.2% | 1.1% |
| 반격률 증가 `p_counter` | 일반 | 7.2% | 3.5% |
| 반격 치명 II `p_ctCritR` | 희귀 | 7.1% | 2.4% |
| 버서커 `p_berserkStk` | 희귀 | 7.1% | 1.2% |
| 회피 시 수리 II `p_evRepairL` | 전설 | 7.0% | 4.8% |
| 3타 도끼 II `p_nAxeR` | 희귀 | 6.8% | 6.1% |
| 치명타 확률 증가 II `p_critRR` | 희귀 | 6.8% | 2.5% |
| 피격 시 방어막 III `p_wardHitL` | 전설 | 6.8% | 6.2% |
| 반격률 증가 II `p_counterR` | 희귀 | 6.7% | 1.3% |
| 공격력 증가 II `p_atkR` | 희귀 | 6.7% | 0.0% |
| 방어력 증가 III `p_defL` | 전설 | 6.5% | 2.6% |
| 3타 도끼 III `p_nAxeL` | 전설 | 6.5% | 3.8% |
| 2타 화살 II `p_nArrowR` | 희귀 | 6.5% | 3.8% |
| 관통 베기 II `p_cleaveR` | 희귀 | 6.4% | 1.3% |
| 처치 시 대시 `p_killDash` | 희귀 | 6.4% | 1.3% |
| 피격 시 도끼 II `p_axeHitR` | 희귀 | 6.3% | 2.6% |
| 피격 시 도끼 `p_axeHit` | 일반 | 6.2% | 1.4% |
| 회피율 증가 `p_evade` | 일반 | 6.2% | 0.0% |
| 회피율 증가 II `p_evadeR` | 희귀 | 6.2% | 2.7% |
| 회피 시 화살 `p_arrowEv` | 일반 | 6.0% | 1.4% |
| 실드 반사 `p_shRefL` | 전설 | 5.8% | 0.0% |
| 반격 강화 II `p_ctDmgR` | 희귀 | 5.8% | 0.0% |
| 방어력 증가 `p_def` | 일반 | 5.8% | 4.3% |
| 치명타 피해 증가 `p_critF` | 일반 | 5.7% | 2.9% |
| 반격 시 창 `p_spearCt` | 일반 | 5.5% | 3.0% |
| 회피 시 화살 II `p_arrowEvR` | 희귀 | 5.4% | 1.5% |
| 방어력 증가 II `p_defR` | 희귀 | 5.1% | 1.6% |
| 처치 시 창 `p_killSpearN` | 일반 | 4.8% | 3.5% |
| 치명 시 창 `p_critSpearR` | 희귀 | 4.5% | 1.9% |
| 회피 시 수리 `p_evRepairR` | 희귀 | 4.4% | 1.9% |
| 회피 시 회복 II `p_evHealR` | 희귀 | 4.3% | 3.9% |
| 피격 시 방어막 II `p_wardHitR` | 희귀 | 4.3% | 0.0% |
| 처치 시 도끼 `p_killAxeN` | 일반 | 4.2% | 0.0% |
| 처치 시 화살 `p_killArrowN` | 일반 | 4.1% | 0.0% |
| 처치 시 번개 `p_killBoltN` | 일반 | 3.8% | 6.5% |
| 처치 시 회피 버프 `p_killEvBuff` | 일반 | 3.3% | 0.0% |
| 가시갑옷 `p_thornsN` | 일반 | 3.3% | 0.0% |
| 수집가·공격 `p_collAtk` | 일반 | 3.1% | 0.0% |
| 처치 시 회피 스택 `p_killEvStk` | 일반 | 2.7% | 0.0% |
| 처치 시 공격력 스택 `p_killAtkStk` | 일반 | 2.3% | 0.0% |
| 수집가·치명 `p_collCrit` | 일반 | 2.2% | 0.0% |
| 처치 시 회복 `p_killHealN` | 일반 | 1.8% | 9.1% |
| 수집가·체력 `p_collHp` | 일반 | 1.8% | 0.0% |
| 회피 시 즉사 `p_execEvN` | 일반 | 1.7% | 0.0% |
| 치명 스택 `p_critStack` | 일반 | 1.7% | 0.0% |
| 공격 시 공속 버프 `p_aspdAtk` | 일반 | 1.3% | 13.3% |
| 2타 화살 `p_nArrowN` | 일반 | 1.1% | 7.7% |
| 3타 도끼 `p_nAxeN` | 일반 | 1.0% | 0.0% |
| 치명타 시 스턴 `p_stunCritN` | 일반 | 0.8% | 0.0% |
| 3타 번개 `p_nBoltN` | 일반 | 0.6% | 0.0% |
| 5타 회복 `p_nHealN` | 일반 | 0.6% | 14.3% |
| 반격 치명 `p_ctCritN` | 일반 | 0.4% | 0.0% |
| 회피 시 스턴 `p_evadeStun` | 일반 | 0.3% | 0.0% |
| 반격 강화 `p_ctDmgN` | 일반 | 0.2% | 0.0% |
| 실드 없을 때 공격력 `p_noShAtk` | 일반 | 0.1% | 0.0% |
| 관통 베기 `p_cleaveN` | 일반 | 0.1% | 0.0% |
| 처치 시 확정 치명 `p_killSureCrit` | 일반 | 0.1% | 0.0% |

#### 신화+9강 풀셋·슬롯50 (챕터 380) — 1200판 · 클리어율 0.17% · 한 판 평균 획득 2.43장
| 특전 | 등급 | 픽률(판 대비) | 그 특전을 뽑은 판의 클리어율 |
|---|---|---|---|
| 처치 시 도끼 `p_killAxeR` | 희귀 | 4.6% | 0.0% |
| 처치 시 창 `p_killSpearL` | 전설 | 4.5% | 1.9% |
| 회피 시 회복 `p_evadeHeal` | 일반 | 4.5% | 1.9% |
| 수리 증폭 `p_repairUp` | 희귀 | 4.4% | 0.0% |
| 오버킬 회복 `p_overkill` | 전설 | 4.4% | 1.9% |
| 회복 시 수리 `p_healRepair` | 희귀 | 4.3% | 0.0% |
| 풀피 적 강타 `p_fullHp` | 희귀 | 4.2% | 0.0% |
| 처치 시 창 `p_killSpearR` | 희귀 | 4.2% | 2.0% |
| 처치 시 화살 `p_killArrowR` | 희귀 | 4.1% | 0.0% |
| 치명타 시 스턴 III `p_stunCritL` | 전설 | 4.1% | 0.0% |
| 처치 시 화살 `p_killArrowL` | 전설 | 4.0% | 0.0% |
| 치명타 시 스턴 II `p_stunCritR` | 희귀 | 4.0% | 2.1% |
| 피격 시 도끼 III `p_axeHitL` | 전설 | 3.9% | 0.0% |
| 3타 창 `p_nSpearL` | 전설 | 3.8% | 0.0% |
| 공격력 증가 `p_atk` | 일반 | 3.8% | 2.2% |
| 창의 화신 `p_spearAvatar` | 전설 | 3.8% | 0.0% |
| 광전사 `p_berserk` | 전설 | 3.8% | 0.0% |
| 3타 도끼 II `p_nAxeR` | 희귀 | 3.7% | 0.0% |
| 회피율 증가 `p_evade` | 일반 | 3.7% | 2.3% |
| 회복 증폭 `p_healUp` | 희귀 | 3.7% | 2.3% |
| 회피 시 즉사 III `p_execEvL` | 전설 | 3.7% | 4.5% |
| 처치 시 도끼 `p_killAxeL` | 전설 | 3.6% | 0.0% |
| 거인의 힘 `p_giant` | 전설 | 3.6% | 0.0% |
| 반격 치명 II `p_ctCritR` | 희귀 | 3.5% | 0.0% |
| 처치 시 번개 `p_killBoltL` | 전설 | 3.5% | 0.0% |
| 3타 도끼 III `p_nAxeL` | 전설 | 3.4% | 0.0% |
| 회피 시 창 `p_spearEvL` | 전설 | 3.4% | 0.0% |
| 반격 강화 II `p_ctDmgR` | 희귀 | 3.4% | 0.0% |
| 가시갑옷 `p_thornsL` | 전설 | 3.4% | 0.0% |
| 가시갑옷 `p_thornsR` | 희귀 | 3.3% | 0.0% |
| 귀족의 눈 `p_nobleEye` | 전설 | 3.3% | 0.0% |
| 처치 시 수리 `p_killRepair` | 희귀 | 3.3% | 0.0% |
| 반격률 증가 II `p_counterR` | 희귀 | 3.2% | 0.0% |
| 2타 화살 II `p_nArrowR` | 희귀 | 3.1% | 0.0% |
| 반격 시 창 `p_spearCt` | 일반 | 3.1% | 0.0% |
| 치명타 피해 증가 II `p_critFR` | 희귀 | 3.1% | 0.0% |
| 회피 시 화살 `p_arrowEv` | 일반 | 3.1% | 0.0% |
| 피격 시 도끼 `p_axeHit` | 일반 | 3.1% | 0.0% |
| 처치 시 번개 `p_killBoltR` | 희귀 | 3.0% | 2.8% |
| 실드 반사 `p_shRefL` | 전설 | 3.0% | 0.0% |
| 치명 시 번개 `p_critBoltL` | 전설 | 3.0% | 0.0% |
| 치명타 확률 증가 II `p_critRR` | 희귀 | 3.0% | 0.0% |
| 회피 시 화살 III `p_arrowEvL` | 전설 | 2.9% | 0.0% |
| 피격 시 창 `p_spearHitL` | 전설 | 2.9% | 0.0% |
| 2타 화살 III `p_nArrowL` | 전설 | 2.9% | 0.0% |
| 처치 시 대시 `p_killDash` | 희귀 | 2.9% | 0.0% |
| 3타 번개 III `p_nBoltL` | 전설 | 2.8% | 2.9% |
| 공격력 증가 II `p_atkR` | 희귀 | 2.8% | 2.9% |
| 처치 시 번개 `p_killBoltN` | 일반 | 2.8% | 2.9% |
| 방어력 증가 III `p_defL` | 전설 | 2.8% | 0.0% |
| 관통 베기 III `p_cleaveL` | 전설 | 2.8% | 0.0% |
| 치명타 피해 증가 `p_critF` | 일반 | 2.8% | 0.0% |
| 치명 시 창 `p_critSpearR` | 희귀 | 2.8% | 0.0% |
| 3타 번개 II `p_nBoltR` | 희귀 | 2.8% | 0.0% |
| 반격률 증가 `p_counter` | 일반 | 2.7% | 0.0% |
| 치명타 확률 증가 `p_critR` | 일반 | 2.7% | 0.0% |
| 방어력 증가 II `p_defR` | 희귀 | 2.7% | 0.0% |
| 회피 시 즉사 II `p_execEvR` | 희귀 | 2.6% | 0.0% |
| 치명 시 창 `p_critSpearL` | 전설 | 2.5% | 0.0% |
| 실드 방벽 `p_shWallL` | 전설 | 2.4% | 0.0% |
| 피격 시 방어막 III `p_wardHitL` | 전설 | 2.3% | 0.0% |
| 회피율 증가 II `p_evadeR` | 희귀 | 2.3% | 7.1% |
| 피격 시 도끼 II `p_axeHitR` | 희귀 | 2.3% | 0.0% |
| 관통 베기 II `p_cleaveR` | 희귀 | 2.2% | 0.0% |
| 처치 시 창 `p_killSpearN` | 일반 | 2.2% | 0.0% |
| 방어력 증가 `p_def` | 일반 | 2.2% | 0.0% |
| 버서커 `p_berserkStk` | 희귀 | 2.1% | 0.0% |
| 피격 시 방어막 II `p_wardHitR` | 희귀 | 2.0% | 0.0% |
| 가시갑옷 `p_thornsN` | 일반 | 1.9% | 0.0% |
| 회피 시 화살 II `p_arrowEvR` | 희귀 | 1.8% | 0.0% |
| 회피 시 회복 II `p_evHealR` | 희귀 | 1.8% | 0.0% |
| 회피 시 수리 II `p_evRepairL` | 전설 | 1.8% | 0.0% |
| 회피 시 수리 `p_evRepairR` | 희귀 | 1.6% | 0.0% |
| 처치 시 도끼 `p_killAxeN` | 일반 | 1.5% | 5.6% |
| 처치 시 화살 `p_killArrowN` | 일반 | 1.5% | 0.0% |
| 처치 시 회피 버프 `p_killEvBuff` | 일반 | 1.4% | 0.0% |
| 수집가·공격 `p_collAtk` | 일반 | 1.3% | 0.0% |
| 처치 시 회복 `p_killHealN` | 일반 | 1.3% | 0.0% |
| 처치 시 공격력 스택 `p_killAtkStk` | 일반 | 1.2% | 0.0% |
| 수집가·치명 `p_collCrit` | 일반 | 1.1% | 0.0% |
| 2타 화살 `p_nArrowN` | 일반 | 0.9% | 9.1% |
| 공격 시 공속 버프 `p_aspdAtk` | 일반 | 0.8% | 0.0% |
| 치명 스택 `p_critStack` | 일반 | 0.6% | 0.0% |
| 처치 시 회피 스택 `p_killEvStk` | 일반 | 0.5% | 0.0% |
| 3타 번개 `p_nBoltN` | 일반 | 0.4% | 0.0% |
| 수집가·체력 `p_collHp` | 일반 | 0.4% | 0.0% |
| 회피 시 즉사 `p_execEvN` | 일반 | 0.4% | 0.0% |
| 3타 도끼 `p_nAxeN` | 일반 | 0.3% | 0.0% |
| 5타 회복 `p_nHealN` | 일반 | 0.3% | 0.0% |
| 치명타 시 스턴 `p_stunCritN` | 일반 | 0.2% | 0.0% |
| 반격 강화 `p_ctDmgN` | 일반 | 0.1% | 0.0% |
| 회피 시 스턴 `p_evadeStun` | 일반 | 0.1% | 0.0% |

#### 신화+9강 풀셋·슬롯100 (챕터 420) — 1200판 · 클리어율 0.25% · 한 판 평균 획득 2.21장
| 특전 | 등급 | 픽률(판 대비) | 그 특전을 뽑은 판의 클리어율 |
|---|---|---|---|
| 처치 시 창 `p_killSpearR` | 희귀 | 4.3% | 2.0% |
| 치명 시 번개 `p_critBoltL` | 전설 | 4.2% | 4.0% |
| 수리 증폭 `p_repairUp` | 희귀 | 4.2% | 0.0% |
| 치명타 시 스턴 II `p_stunCritR` | 희귀 | 4.1% | 0.0% |
| 처치 시 창 `p_killSpearL` | 전설 | 4.0% | 2.1% |
| 회피 시 회복 `p_evadeHeal` | 일반 | 4.0% | 2.1% |
| 회피율 증가 `p_evade` | 일반 | 3.8% | 0.0% |
| 오버킬 회복 `p_overkill` | 전설 | 3.8% | 6.7% |
| 처치 시 화살 `p_killArrowL` | 전설 | 3.8% | 0.0% |
| 처치 시 화살 `p_killArrowR` | 희귀 | 3.7% | 2.3% |
| 회피 시 즉사 II `p_execEvR` | 희귀 | 3.7% | 4.5% |
| 풀피 적 강타 `p_fullHp` | 희귀 | 3.7% | 2.3% |
| 처치 시 번개 `p_killBoltL` | 전설 | 3.7% | 0.0% |
| 3타 도끼 II `p_nAxeR` | 희귀 | 3.6% | 0.0% |
| 공격력 증가 `p_atk` | 일반 | 3.6% | 0.0% |
| 광전사 `p_berserk` | 전설 | 3.6% | 0.0% |
| 처치 시 도끼 `p_killAxeL` | 전설 | 3.6% | 2.3% |
| 3타 번개 III `p_nBoltL` | 전설 | 3.6% | 0.0% |
| 2타 화살 II `p_nArrowR` | 희귀 | 3.6% | 0.0% |
| 가시갑옷 `p_thornsR` | 희귀 | 3.4% | 0.0% |
| 반격률 증가 II `p_counterR` | 희귀 | 3.3% | 0.0% |
| 처치 시 도끼 `p_killAxeR` | 희귀 | 3.3% | 0.0% |
| 회피 시 즉사 III `p_execEvL` | 전설 | 3.3% | 2.6% |
| 방어력 증가 III `p_defL` | 전설 | 3.2% | 0.0% |
| 회복 시 수리 `p_healRepair` | 희귀 | 3.2% | 0.0% |
| 반격 시 창 `p_spearCt` | 일반 | 3.2% | 0.0% |
| 회복 증폭 `p_healUp` | 희귀 | 3.2% | 0.0% |
| 실드 방벽 `p_shWallL` | 전설 | 3.2% | 2.6% |
| 회피율 증가 II `p_evadeR` | 희귀 | 3.2% | 0.0% |
| 창의 화신 `p_spearAvatar` | 전설 | 3.0% | 0.0% |
| 공격력 증가 II `p_atkR` | 희귀 | 3.0% | 0.0% |
| 실드 반사 `p_shRefL` | 전설 | 3.0% | 0.0% |
| 관통 베기 III `p_cleaveL` | 전설 | 2.9% | 0.0% |
| 피격 시 도끼 `p_axeHit` | 일반 | 2.9% | 0.0% |
| 거인의 힘 `p_giant` | 전설 | 2.9% | 2.9% |
| 처치 시 대시 `p_killDash` | 희귀 | 2.9% | 0.0% |
| 피격 시 도끼 III `p_axeHitL` | 전설 | 2.8% | 5.9% |
| 가시갑옷 `p_thornsL` | 전설 | 2.7% | 0.0% |
| 처치 시 번개 `p_killBoltR` | 희귀 | 2.6% | 0.0% |
| 처치 시 수리 `p_killRepair` | 희귀 | 2.6% | 0.0% |
| 피격 시 방어막 III `p_wardHitL` | 전설 | 2.6% | 3.2% |
| 피격 시 도끼 II `p_axeHitR` | 희귀 | 2.6% | 0.0% |
| 3타 창 `p_nSpearL` | 전설 | 2.5% | 0.0% |
| 피격 시 창 `p_spearHitL` | 전설 | 2.5% | 0.0% |
| 치명타 시 스턴 III `p_stunCritL` | 전설 | 2.5% | 0.0% |
| 반격률 증가 `p_counter` | 일반 | 2.5% | 0.0% |
| 회피 시 화살 III `p_arrowEvL` | 전설 | 2.4% | 3.4% |
| 2타 화살 III `p_nArrowL` | 전설 | 2.4% | 0.0% |
| 버서커 `p_berserkStk` | 희귀 | 2.4% | 0.0% |
| 반격 치명 II `p_ctCritR` | 희귀 | 2.4% | 0.0% |
